"","SITESTN","start","stop","duration","STOC_ANY_N","STOC_4N_N","STOC_IRREG_N","STOC_BARK_N","STOC_WHIS_N","STOC_BEG_N","STOC_PAIR_N","FEMALE_N","MALE_N","UNK_N","JUV_N","reproState","Distance","XNAD83FP","YNAD83FP","dist_intended"
"112","WC_01",2021-05-05,2021-08-23,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",3060.78503,442207,4873156,3000
"113","WC_05",2021-05-05,2021-08-23,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",2572.811108,441520,4872005,2646
"114","WC_06",2021-05-05,2021-08-23,110,5,5,0,0,0,0,0,0,5,0,0,"pair",1892.1937,442435,4871940,2000
"115","WC_07",2021-05-05,2021-08-05,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",1617.136358,443505,4872011,1732
"116","WC_08",2021-05-06,2021-08-24,110,1,0,0,0,1,0,0,0,0,1,0,"pair",1726.88969,444548,4871786,2000
"117","WC_09",2021-05-06,2021-08-23,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",2429.01832,445527,4871771,2646
"118","WC_10",2021-05-26,2021-08-24,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",2478.671418,441150,4871100,2646
"119","WC_11",2021-05-05,2021-08-24,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",2063.728664,441650,4871254,1732
"120","WC_12",2021-05-05,2021-06-30,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",1008.79433,443031,4871273,1000
"121","WC_13",2021-05-05,2021-08-23,110,2,2,1,0,0,0,0,0,2,0,0,"pair",976.688794,444031,4871230,1000
"122","WC_14",2021-05-06,2021-08-23,109,2,2,0,0,0,0,0,0,2,0,0,"pair",1712.860765,445032,4871210,1732
"123","WC_15",2021-05-06,2021-08-24,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",2702.166723,446089,4871250,2646
"124","WC_16",2021-05-05,2021-08-23,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pair",3016.066312,440510,4870374,3000
"125","WC_17",2021-05-05,2021-08-23,110,2,2,0,0,0,0,0,0,2,0,0,"pair",2009.398169,441517,4870354,2000
